InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country
I07271,S089,Product 67,12,2023-09-20,17.30529232994756,C0320,Australia
I00861,S095,Product 4,12,2023-05-31,34.73499912299597,C0246,UK
I05391,S041,Product 96,-6,2023-07-31,36.3671970723862,C0213,Australia
I05192,S081,Product 1,-8,2023-07-11,34.778331672635005,C0443,France
I05735,S047,Product 34,18,2023-08-31,11.037961491988565,C0276,Australia
I06266,S094,Product 9,4,2023-04-08,29.98173453737342,C0416,Germany
I00467,S054,Product 63,12,2023-01-29,13.619049137911423,C0334,Australia
I04427,S055,Product 76,-6,2023-07-08,40.88102265254112,C0280,Germany
I05579,S095,Product 10,11,2023-06-21,-1.9686110739800138,C0046,Australia
I08323,S019,Product 10,-8,2023-07-16,-2.9253586019156588,C0018,UK
I01686,S062,Product 50,-5,2023-06-04,0.5939633498426206,C0367,Australia
I00770,S099,Product 44,12,2023-05-20,6.129975695475435,C0246,USA
I06950,S093,Product 48,3,2023-10-20,-2.930055250328631,C0350,Australia
I02434,S059,Product 87,13,2023-10-17,-1.0610820933759146,C0220,UK
I05312,S065,Product 6,-9,2023-09-13,11.833107100405602,C0176,UK
I05052,S068,Product 88,7,2023-06-13,0.4884874981890658,C0398,Australia
I06421,S028,Product 24,19,2023-05-14,39.1140577171135,C0234,Australia
I01185,S018,Product 85,-5,2023-12-18,-2.0372936071653114,C0438,Australia
I04556,S026,Product 95,13,2023-11-25,44.93611957869898,C0149,France
I03386,S019,Product 58,-6,2023-09-23,42.89617491675357,C0098,Germany
I06397,S055,Product 64,3,2023-01-29,6.461140123435201,C0005,Australia
I08667,S057,Product 94,6,2023-05-19,-1.0660120976936083,C0384,Australia
I09275,S006,Product 56,0,2023-12-14,0.8044274835647702,C0159,Germany
I02559,S001,Product 98,-10,2023-11-08,25.749853016536125,C0451,USA
I07850,S008,Product 82,-1,2023-03-26,28.050365699168303,C0087,France
I02048,S097,Product 12,-2,2023-09-06,12.357053234169136,C0231,France
I02748,S051,Product 35,9,2023-12-17,11.325851756324038,C0120,USA
I09168,S085,Product 71,1,2023-11-10,24.232569766751183,C0443,Germany
I09999,S088,Product 89,15,2023-08-21,11.809542423695415,C0172,Germany
I00190,S025,Product 6,-10,2023-11-04,46.38757220237394,C0064,UK
I02735,S047,Product 65,16,2023-03-02,16.04474783966993,C0094,Germany
I03006,S055,Product 80,13,2023-09-30,7.089756182599142,C0170,France
I04659,S064,Product 60,7,2023-08-07,3.0280665595338663,C0235,UK
I01900,S083,Product 68,1,2023-10-13,29.743950636601493,C0478,Australia
I07735,S093,Product 29,-9,2023-09-06,12.966388878053872,C0121,Australia
I01268,S010,Product 38,-10,2023-03-13,5.383715792162608,C0497,Australia
I01529,S056,Product 92,-10,2023-10-20,10.169853854924629,C0100,UK
